#   29.190   91.759 1 2 0
  29.875   92.621    3.094
  29.897   93.515    3.052
  29.958   97.511    3.078
  30.023   92.965    3.094
  30.691   97.261    3.092
  31.271   97.548    2.928
  31.301   97.962    2.958
#   31.258   92.090 1 2 0
  29.041   92.226    3.020
  29.117   93.782    3.094
  29.190   91.759    3.030
  29.247   94.258    3.110
  29.318   97.186    3.106
  29.707   92.149    3.076
  29.720   98.427    3.066
  29.773   95.700    3.052
  29.808   93.907    3.052
  29.875   92.621    3.038
  29.897   93.515    3.054
  29.909   95.472    2.994
  29.958   97.511    3.064
  29.961   94.780    3.032
  30.009   96.691    3.082
  30.023   92.965    3.046
  30.120   97.303    3.132
  30.502   97.137    3.064
  30.646   93.250    3.062
  30.691   97.261    3.074
  30.730   96.103    3.092
  30.807   96.699    3.088
  30.813   95.711    3.088
  30.910   96.338    3.098
  31.193   96.498    3.084
  31.254   95.901    3.074
  31.284   93.836    3.034
  31.481   93.700    3.004
  31.537   95.282    3.016
  31.586   94.706    3.002
#   31.271   97.548 1 2 0
  29.190   91.759    3.066
  29.247   94.258    3.010
  29.488   94.579    2.996
  29.506   96.756    2.954
  29.773   95.700    3.056
  29.808   93.907    3.080
  29.909   95.472    2.992
  30.023   92.965    3.040
  30.813   95.711    2.974
  30.910   96.338    2.932
#   31.284   93.836 1 2 0
  29.488   94.579    3.092
  29.707   92.149    3.102
  29.758   96.102    3.092
  29.958   97.511    3.094
  29.961   94.780    3.132
  30.009   96.691    3.142
  30.120   97.303    3.116
  30.691   97.261    3.122
  30.730   96.103    3.040
  31.183   97.018    3.080
  31.193   96.498    3.118
  31.301   97.962    3.004
  31.537   95.282    3.128
#   31.301   97.962 1 2 0
  28.898   91.943    3.068
  29.072   93.386    3.044
  29.318   97.186    2.980
  29.488   94.579    2.976
  29.707   92.149    3.040
  29.758   96.102    3.014
  29.808   93.907    3.052
  29.897   93.515    3.024
  29.909   95.472    2.988
  29.958   97.511    3.020
  30.009   96.691    2.968
  30.023   92.965    3.028
  30.813   95.711    2.986
#   31.481   93.700 1 2 0
  28.898   91.943    3.078
  29.072   93.386    3.126
  29.190   91.759    3.076
  29.318   97.186    3.124
  29.707   92.149    3.022
  29.720   98.427    3.094
  29.758   96.102    3.112
  29.773   95.700    3.086
  29.875   92.621    3.092
  29.897   93.515    3.068
  29.909   95.472    3.082
  29.961   94.780    3.092
  30.023   92.965    3.132
  31.183   97.018    3.008
  31.271   97.548    3.052
  31.301   97.962    3.020
#   31.537   95.282 1 2 0
  29.072   93.386    3.100
  29.247   94.258    3.050
  29.318   97.186    3.084
  29.506   96.756    3.084
  29.720   98.427    3.046
  29.758   96.102    3.090
  29.773   95.700    3.016
  29.875   92.621    3.130
  29.897   93.515    3.018
  29.909   95.472    3.028
